school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,class
GP,F,17,U,GT3,T,4,2,other,other,home,mother,3,3,0,no,no,no,no,yes,yes,yes,yes,4,2,3,1,1,2,1,7,12,Low
GP,F,17,U,LE3,T,0,2,services,other,home,father,2,3,1,no,yes,no,no,yes,no,no,yes,3,4,3,1,1,5,6,7,8,High
GP,M,18,R,LE3,T,2,4,other,services,course,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,4,4,3,1,1,5,0,15,16,High
MS,F,18,R,GT3,T,1,2,services,other,other,other,2,3,0,no,no,no,no,yes,yes,yes,yes,4,5,3,1,1,2,0,7,12,High
GP,F,16,U,LE3,T,2,2,other,services,other,mother,1,3,0,yes,no,no,no,yes,yes,yes,no,4,2,2,1,1,3,3,9,19,High
MS,F,18,U,GT3,T,3,1,teacher,services,reputation,mother,1,3,0,no,no,no,no,yes,yes,no,yes,4,4,3,1,1,4,1,6,11,High
MS,F,15,U,GT3,T,1,2,at_home,other,home,mother,2,2,0,no,no,no,no,yes,yes,no,yes,4,2,5,2,3,1,0,12,8,High
GP,F,15,U,GT3,T,4,2,other,services,home,mother,2,2,0,no,no,no,no,yes,yes,no,no,4,4,3,2,3,3,2,11,16,High
GP,M,18,U,LE3,T,1,4,services,services,course,mother,3,3,0,yes,yes,no,yes,no,yes,yes,yes,3,3,3,1,1,3,3,9,10,High
GP,M,16,R,GT3,T,2,2,other,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,3,2,5,4,1,7,11,Low
GP,F,15,U,GT3,A,2,1,at_home,services,home,other,2,3,0,no,yes,no,no,yes,no,yes,no,4,4,3,1,3,5,0,13,12,High
MS,F,18,U,GT3,T,3,2,teacher,other,home,father,1,1,0,no,yes,yes,no,yes,no,yes,no,4,4,3,4,1,3,2,13,16,High
GP,F,18,R,LE3,T,4,1,at_home,at_home,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,2,3,5,0,12,9,Low
GP,F,17,U,LE3,T,0,2,at_home,services,home,other,1,3,0,no,no,no,yes,yes,yes,yes,yes,4,2,4,1,1,2,0,11,17,Low
MS,M,17,U,GT3,T,1,2,other,services,reputation,mother,2,3,0,no,no,no,no,no,no,no,yes,2,2,2,1,1,1,3,16,9,Low
GP,F,16,U,LE3,T,3,2,health,other,course,mother,1,3,0,no,yes,yes,no,no,yes,yes,yes,4,4,3,1,1,4,0,9,17,High
MS,F,15,R,GT3,T,3,4,at_home,services,home,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,3,0,12,18,High
MS,M,15,U,LE3,T,1,4,other,other,course,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,2,5,10,14,13,Low
GP,M,18,U,GT3,T,4,1,teacher,other,other,mother,1,3,0,no,yes,no,no,yes,no,yes,no,3,4,3,2,1,3,1,18,10,High
GP,F,18,U,LE3,T,2,1,at_home,services,other,father,2,1,0,no,yes,yes,no,yes,no,yes,yes,3,4,5,1,3,3,2,5,6,High
GP,F,15,U,GT3,T,3,2,at_home,at_home,course,other,3,2,0,no,yes,no,no,no,yes,yes,yes,4,4,5,1,3,5,0,14,14,Low
MS,F,15,U,GT3,T,1,2,health,other,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,5,3,2,1,5,0,14,8,High
GP,F,17,U,GT3,T,4,2,other,other,reputation,mother,2,3,0,no,no,no,no,yes,no,yes,no,4,3,3,1,1,2,1,11,10,High
GP,F,18,U,GT3,T,1,2,at_home,services,course,other,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,2,5,5,0,5,16,High
GP,F,16,R,GT3,A,2,3,services,other,other,father,2,1,0,no,no,yes,no,yes,yes,no,yes,5,3,3,2,4,2,2,14,10,High
GP,F,15,U,LE3,T,2,2,other,other,course,mother,2,3,0,no,yes,no,no,yes,no,yes,no,3,1,3,1,4,2,1,13,12,High
MS,F,17,U,LE3,A,2,2,other,health,course,father,2,2,0,no,yes,no,yes,yes,no,yes,yes,4,4,5,2,5,3,10,11,17,High
MS,F,15,U,GT3,T,2,2,health,teacher,course,mother,2,3,0,no,no,no,no,yes,yes,no,yes,4,4,3,2,5,2,2,9,11,High
GP,F,15,U,GT3,T,1,3,at_home,teacher,other,mother,3,2,0,no,yes,yes,no,yes,no,no,no,3,3,4,2,1,2,2,11,7,High
GP,F,17,R,GT3,T,2,1,services,other,course,mother,3,3,0,no,yes,yes,no,no,no,yes,no,4,3,3,2,5,2,1,11,16,High
GP,F,18,U,LE3,A,4,2,services,other,reputation,mother,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,4,2,3,4,1,5,4,9,9,High
GP,F,15,U,LE3,A,1,2,health,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,4,3,1,1,4,1,12,14,High
GP,F,17,U,GT3,A,0,3,teacher,other,other,father,2,3,0,no,yes,no,yes,no,no,yes,yes,4,3,4,2,1,5,0,14,8,High
GP,F,18,U,LE3,T,2,4,other,other,course,father,1,3,0,no,yes,no,no,yes,yes,no,yes,4,4,5,1,4,2,5,10,19,Low
GP,M,17,U,GT3,T,1,1,services,at_home,course,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,3,1,5,4,1,13,16,Low
GP,M,15,U,LE3,T,2,4,other,services,home,mother,1,2,0,no,yes,no,no,yes,no,yes,yes,4,4,3,1,1,2,0,15,17,Low
GP,F,15,R,GT3,T,0,1,at_home,at_home,course,mother,2,3,0,no,no,no,no,yes,no,no,yes,4,4,3,1,1,2,0,12,9,Low
MS,F,17,R,GT3,T,2,4,other,other,home,mother,2,3,0,no,yes,no,yes,yes,yes,no,no,4,4,2,1,4,2,0,13,11,Low
GP,F,18,U,LE3,A,0,2,at_home,other,course,father,2,3,0,no,no,yes,no,yes,yes,yes,no,5,4,3,2,3,3,0,6,13,High
GP,F,18,U,LE3,T,1,1,other,services,other,mother,3,2,0,no,yes,no,yes,yes,no,yes,yes,4,4,3,2,3,5,1,8,12,Low
MS,F,15,U,LE3,T,2,2,other,services,other,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,4,3,2,1,3,0,12,9,High
GP,M,18,U,GT3,T,1,1,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,2,3,1,0,13,12,Low
GP,M,15,U,LE3,T,4,1,at_home,other,course,mother,2,3,0,no,yes,no,no,yes,yes,no,no,5,4,3,1,1,3,0,9,13,High
MS,M,18,U,GT3,T,3,2,services,services,home,mother,2,3,0,yes,yes,no,no,yes,no,yes,yes,4,2,5,1,1,3,1,7,9,High
GP,F,18,U,LE3,A,1,2,health,services,reputation,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,1,4,4,2,5,4,0,5,10,High
MS,F,16,R,GT3,A,4,1,other,at_home,reputation,father,1,1,1,no,yes,no,no,yes,yes,no,no,4,4,3,2,4,5,1,11,18,High
GP,F,18,U,GT3,T,1,2,other,other,course,father,2,3,0,no,no,no,no,yes,no,no,no,3,4,3,1,1,5,0,9,13,High
GP,F,15,U,GT3,T,2,2,at_home,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,1,1,3,2,10,7,High
GP,F,15,R,GT3,T,2,2,other,other,home,other,1,3,0,no,no,no,no,yes,no,no,yes,4,2,3,2,1,3,0,14,8,Low
MS,F,18,U,GT3,T,3,1,services,services,home,father,2,3,0,no,no,yes,no,yes,no,yes,yes,4,4,3,1,3,5,0,12,9,Low
MS,M,18,U,LE3,A,0,2,other,other,course,father,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,4,3,1,4,2,1,8,12,Low
MS,M,16,U,GT3,A,1,1,other,at_home,course,mother,2,2,3,yes,no,no,no,yes,yes,yes,yes,3,2,2,2,5,1,3,12,15,High
GP,F,17,U,LE3,T,1,2,teacher,services,course,other,4,3,0,yes,yes,no,no,yes,no,yes,yes,4,4,4,1,3,3,1,12,14,High
GP,F,17,U,GT3,T,1,2,other,other,reputation,father,2,3,0,no,no,no,yes,no,yes,yes,yes,4,4,2,1,1,3,4,13,9,High
GP,F,16,U,LE3,T,1,2,health,other,other,mother,2,2,0,no,no,no,no,yes,yes,yes,no,3,4,5,2,2,5,0,6,11,High
GP,M,18,U,GT3,T,4,2,other,other,reputation,father,4,2,0,no,yes,no,no,yes,no,yes,yes,5,4,3,2,3,5,0,12,15,High
MS,F,17,U,GT3,T,1,1,at_home,other,other,mother,2,3,0,no,no,no,no,yes,no,no,no,4,4,4,2,1,4,0,10,5,Low
MS,F,17,U,GT3,T,0,2,teacher,at_home,home,mother,1,2,0,no,yes,no,yes,yes,no,yes,yes,4,4,2,1,2,3,0,17,12,High
MS,M,15,U,LE3,T,2,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,5,0,13,8,High
GP,F,16,U,GT3,T,2,2,teacher,other,course,mother,2,3,0,yes,no,no,no,yes,no,yes,no,4,2,3,1,1,5,1,15,16,High
GP,M,15,U,GT3,T,1,1,other,other,course,mother,2,3,0,no,yes,no,no,yes,no,yes,yes,3,3,3,2,3,5,2,14,12,High
MS,F,17,U,LE3,T,1,2,other,other,home,mother,2,2,0,no,no,no,yes,yes,no,yes,no,4,3,3,2,1,3,0,9,9,High
GP,M,16,R,GT3,T,4,2,services,other,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,3,1,5,5,5,16,17,High
MS,F,15,U,GT3,T,3,2,other,other,course,mother,2,2,0,no,yes,no,no,yes,yes,no,yes,4,4,3,1,3,3,0,16,13,High
GP,F,15,R,GT3,T,2,2,teacher,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,2,1,5,3,7,19,Low
GP,F,18,U,LE3,T,2,2,services,other,course,mother,2,1,0,no,no,no,no,yes,yes,no,yes,4,4,2,2,4,3,3,8,15,High
GP,F,15,R,LE3,T,1,1,services,teacher,home,mother,2,3,0,no,yes,no,no,yes,yes,no,yes,4,4,4,1,3,2,0,9,14,Low
GP,M,18,U,LE3,T,3,2,other,other,home,mother,2,2,0,no,yes,no,no,yes,no,no,yes,4,2,3,1,1,4,0,13,8,High
GP,F,18,U,LE3,T,3,2,other,services,course,mother,2,1,0,no,no,no,no,yes,yes,yes,yes,3,3,1,1,1,3,0,5,7,High
MS,M,17,U,LE3,T,1,1,services,services,course,father,1,3,0,no,yes,no,no,yes,yes,yes,no,4,4,3,2,1,5,0,16,15,High
GP,F,15,U,LE3,T,0,2,services,teacher,home,mother,2,2,1,no,no,no,no,yes,no,yes,yes,3,2,3,2,5,1,1,11,7,High
MS,F,18,U,LE3,T,1,3,at_home,other,home,mother,2,3,3,yes,yes,no,no,yes,yes,yes,yes,4,2,2,2,1,3,5,13,13,High
